DATE,ATM,Cash
2010-01-15,ATM3,0
2010-01-16,ATM3,0
2010-01-17,ATM3,0
2010-01-18,ATM3,0
2010-01-19,ATM3,0
2010-01-20,ATM3,0
2010-01-21,ATM3,0
2010-01-22,ATM3,0
2010-01-23,ATM3,0
2010-01-24,ATM3,0
2010-01-25,ATM3,0
2010-01-26,ATM3,0
2010-01-27,ATM3,0
2010-01-28,ATM3,0
2010-01-29,ATM3,0
2010-01-30,ATM3,0
2010-01-31,ATM3,0
2010-02-01,ATM3,0
2010-02-02,ATM3,0
2010-02-03,ATM3,0
2010-02-04,ATM3,0
2010-02-05,ATM3,0
2010-02-06,ATM3,0
2010-02-07,ATM3,0
2010-02-08,ATM3,0
2010-02-09,ATM3,0
2010-02-10,ATM3,0
2010-02-11,ATM3,0
2010-02-12,ATM3,0
2010-02-13,ATM3,0
2010-02-14,ATM3,0
2010-02-15,ATM3,0
2010-02-16,ATM3,0
2010-02-17,ATM3,0
2010-02-18,ATM3,0
2010-02-19,ATM3,0
2010-02-20,ATM3,0
2010-02-21,ATM3,0
2010-02-22,ATM3,0
2010-02-23,ATM3,0
2010-02-24,ATM3,0
2010-02-25,ATM3,0
2010-02-26,ATM3,0
2010-02-27,ATM3,0
2010-02-28,ATM3,0
2010-03-01,ATM3,0
2010-03-02,ATM3,0
2010-03-03,ATM3,0
2010-03-04,ATM3,0
2010-03-05,ATM3,0
2010-03-06,ATM3,0
2010-03-07,ATM3,0
2010-03-08,ATM3,0
2010-03-09,ATM3,0
2010-03-10,ATM3,0
2010-03-11,ATM3,0
2010-03-12,ATM3,0
2010-03-13,ATM3,0
2010-03-14,ATM3,0
2010-03-15,ATM3,0
2010-03-16,ATM3,0
2010-03-17,ATM3,0
2010-03-18,ATM3,0
2010-03-19,ATM3,0
2010-03-20,ATM3,0
2010-03-21,ATM3,0
2010-03-22,ATM3,0
2010-03-23,ATM3,0
2010-03-24,ATM3,0
2010-03-25,ATM3,0
2010-03-26,ATM3,0
2010-03-27,ATM3,0
2010-03-28,ATM3,0
2010-03-29,ATM3,0
2010-03-30,ATM3,0
2010-03-31,ATM3,0
2010-04-01,ATM3,0
2010-04-02,ATM3,0
2010-04-03,ATM3,0
2010-04-04,ATM3,0
2010-04-05,ATM3,0
2010-04-06,ATM3,0
2010-04-07,ATM3,0
2010-04-08,ATM3,0
2010-04-09,ATM3,0
2010-04-10,ATM3,0
2010-04-11,ATM3,0
2010-04-12,ATM3,0
2010-04-13,ATM3,0
2010-04-14,ATM3,0
2010-04-15,ATM3,0
2010-04-16,ATM3,0
2010-04-17,ATM3,0
2010-04-18,ATM3,0
2010-04-19,ATM3,0
2010-04-20,ATM3,0
2010-04-21,ATM3,0
2010-04-22,ATM3,0
2010-04-23,ATM3,0
2010-04-24,ATM3,0
2010-04-25,ATM3,0
2010-04-26,ATM3,0
2010-04-27,ATM3,0
2010-04-28,ATM3,96
2010-04-29,ATM3,82
2010-04-30,ATM3,85
2009-05-01,ATM4,777
2009-05-02,ATM4,524
2009-05-03,ATM4,793
2009-05-04,ATM4,908
2009-05-05,ATM4,53
2009-05-06,ATM4,52
2009-05-07,ATM4,55
2009-05-08,ATM4,559
2009-05-09,ATM4,904
2009-05-10,ATM4,879
2009-05-11,ATM4,274
2009-05-12,ATM4,396
2009-05-13,ATM4,275
2009-05-14,ATM4,16
2009-05-15,ATM4,852
2009-05-16,ATM4,380
2009-05-17,ATM4,31
2009-05-18,ATM4,492
2009-05-19,ATM4,84
2009-05-20,ATM4,129
2009-05-21,ATM4,14
2009-05-22,ATM4,815
2009-05-23,ATM4,758
2009-05-24,ATM4,601
2009-05-25,ATM4,907
2009-05-26,ATM4,503
2009-05-27,ATM4,88
2009-05-28,ATM4,35
2009-05-29,ATM4,338
2009-05-30,ATM4,5
2009-05-31,ATM4,123
2009-06-01,ATM4,150
2009-06-02,ATM4,721
2009-06-03,ATM4,443
2009-06-04,ATM4,17
2009-06-05,ATM4,15
2009-06-06,ATM4,741
2009-06-07,ATM4,1058
2009-06-08,ATM4,576
2009-06-09,ATM4,1484
2009-06-10,ATM4,194
2009-06-11,ATM4,27
2009-06-12,ATM4,1191
2009-06-13,ATM4,746
2009-06-14,ATM4,1221
2009-06-15,ATM4,1022
2009-06-16,ATM4,373
2009-06-17,ATM4,321
2009-06-18,ATM4,92
2009-06-19,ATM4,117
2009-06-20,ATM4,202
2009-06-21,ATM4,524
2009-06-22,ATM4,81
2009-06-23,ATM4,64
2009-06-24,ATM4,91
2009-06-25,ATM4,48
2009-06-26,ATM4,1026
2009-06-27,ATM4,424
2009-06-28,ATM4,61
2009-06-29,ATM4,540
2009-06-30,ATM4,174
2009-07-01,ATM4,393
2009-07-02,ATM4,42
2009-07-03,ATM4,310
2009-07-04,ATM4,110
2009-07-05,ATM4,682
2009-07-06,ATM4,55
2009-07-07,ATM4,214
2009-07-08,ATM4,738
2009-07-09,ATM4,16
2009-07-10,ATM4,16
2009-07-11,ATM4,1050
2009-07-12,ATM4,438
2009-07-13,ATM4,547
2009-07-14,ATM4,858
2009-07-15,ATM4,447
2009-07-16,ATM4,95
2009-07-17,ATM4,644
2009-07-18,ATM4,569
2009-07-19,ATM4,705
2009-07-20,ATM4,572
2009-07-21,ATM4,480
2009-07-22,ATM4,419
2009-07-23,ATM4,28
2009-07-24,ATM4,835
2009-07-25,ATM4,911
2009-07-26,ATM4,468
2009-07-27,ATM4,768
2009-07-28,ATM4,1089
2009-07-29,ATM4,267
2009-07-30,ATM4,7
2009-07-31,ATM4,704
2009-08-01,ATM4,495
2009-08-02,ATM4,143
2009-08-03,ATM4,429
2009-08-04,ATM4,895
2009-08-05,ATM4,610
2009-08-06,ATM4,71
2009-08-07,ATM4,594
2009-08-08,ATM4,342
2009-08-09,ATM4,735
2009-08-10,ATM4,463
2009-08-11,ATM4,1156
2009-08-12,ATM4,454
2009-08-13,ATM4,283
2009-08-14,ATM4,572
2009-08-15,ATM4,772
2009-08-16,ATM4,260
2009-08-17,ATM4,358
2009-08-18,ATM4,16
2009-08-19,ATM4,334
2009-08-20,ATM4,26
2009-08-21,ATM4,255
2009-08-22,ATM4,357
2009-08-23,ATM4,1246
2009-08-24,ATM4,917
2009-08-25,ATM4,592
2009-08-26,ATM4,412
2009-08-27,ATM4,83
2009-08-28,ATM4,996
2009-08-29,ATM4,104
2009-08-30,ATM4,1117
2009-08-31,ATM4,817
2009-09-01,ATM4,914
2009-09-02,ATM4,648
2009-09-03,ATM4,141
2009-09-04,ATM4,1495
2009-09-05,ATM4,1301
2009-09-06,ATM4,780
2009-09-07,ATM4,744
2009-09-08,ATM4,200
2009-09-09,ATM4,854
2009-09-10,ATM4,51
2009-09-11,ATM4,7
2009-09-12,ATM4,1061
2009-09-13,ATM4,715
2009-09-14,ATM4,35
2009-09-15,ATM4,492
2009-09-16,ATM4,343
2009-09-17,ATM4,21
2009-09-18,ATM4,506
2009-09-19,ATM4,97
2009-09-20,ATM4,474
2009-09-21,ATM4,900
2009-09-22,ATM4,1712
2009-09-23,ATM4,281
2009-09-24,ATM4,26
2009-09-25,ATM4,329
2009-09-26,ATM4,761
2009-09-27,ATM4,629
2009-09-28,ATM4,236
2009-09-29,ATM4,1195
2009-09-30,ATM4,782
2009-10-01,ATM4,108
2009-10-02,ATM4,847
2009-10-03,ATM4,576
2009-10-04,ATM4,442
2009-10-05,ATM4,319
2009-10-06,ATM4,154
2009-10-07,ATM4,543
2009-10-08,ATM4,124
2009-10-09,ATM4,449
2009-10-10,ATM4,615
2009-10-11,ATM4,219
2009-10-12,ATM4,946
2009-10-13,ATM4,10
2009-10-14,ATM4,696
2009-10-15,ATM4,8
2009-10-16,ATM4,845
2009-10-17,ATM4,213
2009-10-18,ATM4,9
2009-10-19,ATM4,47
2009-10-20,ATM4,30
2009-10-21,ATM4,400
2009-10-22,ATM4,61
2009-10-23,ATM4,428
2009-10-24,ATM4,2
2009-10-25,ATM4,9
2009-10-26,ATM4,50
2009-10-27,ATM4,313
2009-10-28,ATM4,627
2009-10-29,ATM4,6
2009-10-30,ATM4,78
2009-10-31,ATM4,338
2009-11-01,ATM4,212
2009-11-02,ATM4,690
2009-11-03,ATM4,596
2009-11-04,ATM4,65
2009-11-05,ATM4,77
2009-11-06,ATM4,44
2009-11-07,ATM4,964
2009-11-08,ATM4,835
2009-11-09,ATM4,637
2009-11-10,ATM4,927
2009-11-11,ATM4,76
2009-11-12,ATM4,44
2009-11-13,ATM4,621
2009-11-14,ATM4,313
2009-11-15,ATM4,826
2009-11-16,ATM4,414
2009-11-17,ATM4,194
2009-11-18,ATM4,346
2009-11-19,ATM4,32
2009-11-20,ATM4,655
2009-11-21,ATM4,638
2009-11-22,ATM4,15
2009-11-23,ATM4,300
2009-11-24,ATM4,627
2009-11-25,ATM4,601
2009-11-26,ATM4,64
2009-11-27,ATM4,563
2009-11-28,ATM4,317
2009-11-29,ATM4,1167
2009-11-30,ATM4,47
2009-12-01,ATM4,994
2009-12-02,ATM4,687
2009-12-03,ATM4,71
2009-12-04,ATM4,1047
2009-12-05,ATM4,1009
2009-12-06,ATM4,289
2009-12-07,ATM4,592
2009-12-08,ATM4,231
2009-12-09,ATM4,578
2009-12-10,ATM4,70
2009-12-11,ATM4,581
2009-12-12,ATM4,149
2009-12-13,ATM4,404
2009-12-14,ATM4,125
2009-12-15,ATM4,230
2009-12-16,ATM4,19
2009-12-17,ATM4,129
2009-12-18,ATM4,328
2009-12-19,ATM4,532
2009-12-20,ATM4,877
2009-12-21,ATM4,662
2009-12-22,ATM4,301
2009-12-23,ATM4,668
2009-12-24,ATM4,15
2009-12-25,ATM4,660
2009-12-26,ATM4,511
2009-12-27,ATM4,164
2009-12-28,ATM4,748
2009-12-29,ATM4,174
2009-12-30,ATM4,20
2009-12-31,ATM4,101
2010-01-01,ATM4,986
2010-01-02,ATM4,597
2010-01-03,ATM4,468
2010-01-04,ATM4,857
2010-01-05,ATM4,685
2010-01-06,ATM4,382
2010-01-07,ATM4,152
2010-01-08,ATM4,272
2010-01-09,ATM4,135
2010-01-10,ATM4,1105
2010-01-11,ATM4,292
2010-01-12,ATM4,1141
2010-01-13,ATM4,141
2010-01-14,ATM4,9
2010-01-15,ATM4,85
2010-01-16,ATM4,67
2010-01-17,ATM4,710
2010-01-18,ATM4,568
2010-01-19,ATM4,487
2010-01-20,ATM4,17
2010-01-21,ATM4,49
2010-01-22,ATM4,357
2010-01-23,ATM4,180
2010-01-24,ATM4,729
2010-01-25,ATM4,261
2010-01-26,ATM4,629
2010-01-27,ATM4,277
2010-01-28,ATM4,41
2010-01-29,ATM4,1575
2010-01-30,ATM4,670
2010-01-31,ATM4,980
2010-02-01,ATM4,426
2010-02-02,ATM4,153
2010-02-03,ATM4,275
2010-02-04,ATM4,136
2010-02-05,ATM4,454
2010-02-06,ATM4,458
2010-02-07,ATM4,112
2010-02-08,ATM4,418
2010-02-09,ATM4,10920
2010-02-10,ATM4,42
2010-02-11,ATM4,280
2010-02-12,ATM4,412
2010-02-13,ATM4,853
2010-02-14,ATM4,180
2010-02-15,ATM4,226
2010-02-16,ATM4,989
2010-02-17,ATM4,825
2010-02-18,ATM4,967
2010-02-19,ATM4,734
2010-02-20,ATM4,121
2010-02-21,ATM4,288
2010-02-22,ATM4,503
2010-02-23,ATM4,10
2010-02-24,ATM4,258
2010-02-25,ATM4,1170
2010-02-26,ATM4,193
2010-02-27,ATM4,403
2010-02-28,ATM4,1276
2010-03-01,ATM4,820
2010-03-02,ATM4,26
2010-03-03,ATM4,894
2010-03-04,ATM4,361
2010-03-05,ATM4,860
2010-03-06,ATM4,381
2010-03-07,ATM4,10
2010-03-08,ATM4,601
2010-03-09,ATM4,32
2010-03-10,ATM4,553
2010-03-11,ATM4,572
2010-03-12,ATM4,219
2010-03-13,ATM4,828
2010-03-14,ATM4,631
2010-03-15,ATM4,339
2010-03-16,ATM4,32
2010-03-17,ATM4,487
2010-03-18,ATM4,335
2010-03-19,ATM4,340
2010-03-20,ATM4,291
2010-03-21,ATM4,46
2010-03-22,ATM4,201
2010-03-23,ATM4,10
2010-03-24,ATM4,878
2010-03-25,ATM4,778
2010-03-26,ATM4,708
2010-03-27,ATM4,351
2010-03-28,ATM4,711
2010-03-29,ATM4,503
2010-03-30,ATM4,23
2010-03-31,ATM4,493
2010-04-01,ATM4,405
2010-04-02,ATM4,818
2010-04-03,ATM4,152
2010-04-04,ATM4,281
2010-04-05,ATM4,470
2010-04-06,ATM4,3
2010-04-07,ATM4,415
2010-04-08,ATM4,719
2010-04-09,ATM4,812
2010-04-10,ATM4,890
2010-04-11,ATM4,616
2010-04-12,ATM4,61
2010-04-13,ATM4,27
2010-04-14,ATM4,768
2010-04-15,ATM4,326
2010-04-16,ATM4,825
2010-04-17,ATM4,384
2010-04-18,ATM4,195
2010-04-19,ATM4,711
2010-04-20,ATM4,30
2010-04-21,ATM4,557
2010-04-22,ATM4,386
2010-04-23,ATM4,165
2010-04-24,ATM4,5
2010-04-25,ATM4,542
2010-04-26,ATM4,404
2010-04-27,ATM4,14
2010-04-28,ATM4,348
2010-04-29,ATM4,44
2010-04-30,ATM4,482
